SampleID,Flask_No,Enrichment,Carbon,Media,Replicate,Time_Point,Time,Minutes,Hours,Absorbance,Absorbance_300,Biomass_mg
Laura2_DCPET_AMW_R3_T1,45,Laura2,DCPET,AMW,R3,T1,06082021_0153pm,1373,22.9,0.762,,
Emma2_Blank_AMW_R1_T1,46,Emma2,Blank,AMW,R1,T1,06082021_0153pm,1373,22.9,0.302,,
Emma2_Blank_AMW_R2_T1,47,Emma2,Blank,AMW,R2,T1,06082021_0153pm,1373,22.9,0.282,,
Emma2_Blank_AMW_R3_T1,48,Emma2,Blank,AMW,R3,T1,06082021_0153pm,1373,22.9,0.15,,
Laura1_Blank_AMW_R1_T1,49,Laura1,Blank,AMW,R1,T1,06082021_0153pm,1373,22.9,0.167,,
Laura1_Blank_AMW_R2_T1,50,Laura1,Blank,AMW,R2,T1,06082021_0153pm,1373,22.9,0.146,,
Laura1_Blank_AMW_R3_T1,51,Laura1,Blank,AMW,R3,T1,06082021_0153pm,1373,22.9,0.157,,
Laura2_Blank_AMW_R1_T1,52,Laura2,Blank,AMW,R1,T1,06082021_0153pm,1373,22.9,0.206,,
Laura2_Blank_AMW_R2_T1,53,Laura2,Blank,AMW,R2,T1,06082021_0153pm,1373,22.9,0.2,,
Laura2_Blank_AMW_R3_T1,54,Laura2,Blank,AMW,R3,T1,06082021_0153pm,1373,22.9,0.162,,
Blank_DCPET_AMW_R1_T1,55,Blank,DCPET,AMW,R1,T1,06082021_0153pm,1373,22.9,0.038,,
Blank_DCPET_AMW_R2_T1,56,Blank,DCPET,AMW,R2,T1,06082021_0153pm,1373,22.9,0.039,,
Blank_DCPET_AMW_R3_T1,57,Blank,DCPET,AMW,R3,T1,06082021_0153pm,1373,22.9,0.038,,
Blank_TPA_BH_R1_T1,58,Blank,TPA,BH,R1,T1,06082021_0153pm,1373,22.9,0.064,,
Blank_TPA_BH_R2_T1,59,Blank,TPA,BH,R2,T1,06082021_0153pm,1373,22.9,0.084,,
Blank_TPA_BH_R3_T1,60,Blank,TPA,BH,R3,T1,06082021_0153pm,1373,22.9,0.104,,
